Algorithm,Instance,MetricName,ExecutionId,MetricValue
NSGAII,ZCAT9,EP,27,0.013366048465354718
NSGAII,ZCAT9,EP,28,0.012486950440746658
NSGAII,ZCAT9,EP,29,0.011882391861496977
NSGAII,ZCAT10,EP,0,0.0094339509601169
NSGAII,ZCAT10,EP,1,0.010899611311158353
NSGAII,ZCAT10,EP,2,0.01171946976137861
NSGAII,ZCAT10,EP,3,0.011142959931365048
NSGAII,ZCAT10,EP,4,0.0102921356086485
NSGAII,ZCAT10,EP,5,0.00961356519199219
NSGAII,ZCAT10,EP,6,0.01409254552512118
NSGAII,ZCAT10,EP,7,0.015227025331734256
NSGAII,ZCAT10,EP,8,0.010117552223549708
NSGAII,ZCAT10,EP,9,0.010872739303606327
NSGAII,ZCAT10,EP,10,0.008965378580963579
NSGAII,ZCAT10,EP,11,0.011401655182945114
NSGAII,ZCAT10,EP,12,0.01468796209442047
NSGAII,ZCAT10,EP,13,0.020749225249944603
NSGAII,ZCAT10,EP,14,0.010802652006967173
NSGAII,ZCAT10,EP,15,0.017347522641914637
NSGAII,ZCAT10,EP,16,0.010507909406809679
NSGAII,ZCAT10,EP,17,0.013442359234552725
NSGAII,ZCAT10,EP,18,0.012279934297444561
NSGAII,ZCAT10,EP,19,0.008773071360800633
NSGAII,ZCAT10,EP,20,0.017596943378041588
NSGAII,ZCAT10,EP,21,0.011348978656010145
NSGAII,ZCAT10,EP,22,0.009244233952335312
NSGAII,ZCAT10,EP,23,0.01420528605620519
NSGAII,ZCAT10,EP,24,0.014752568849033088
NSGAII,ZCAT10,EP,25,0.010271386481358391
NSGAII,ZCAT10,EP,26,0.010560137022329052
NSGAII,ZCAT10,EP,27,0.010350180464709702
NSGAII,ZCAT10,EP,28,0.010743207022043233
NSGAII,ZCAT10,EP,29,0.014335115896309425
NSGAII,ZCAT11,EP,0,0.008943378819518344
NSGAII,ZCAT11,EP,1,0.011685467379697001
NSGAII,ZCAT11,EP,2,0.01006468182761841
NSGAII,ZCAT11,EP,3,0.01273786617769912
NSGAII,ZCAT11,EP,4,0.01274089990232874
NSGAII,ZCAT11,EP,5,0.0117695855331168
NSGAII,ZCAT11,EP,6,0.011077852265794413
NSGAII,ZCAT11,EP,7,0.023519534720536195
NSGAII,ZCAT11,EP,8,0.009904126468056829
NSGAII,ZCAT11,EP,9,0.014261410923677373
NSGAII,ZCAT11,EP,10,0.012560945145011382
NSGAII,ZCAT11,EP,11,0.010068190014100531
NSGAII,ZCAT11,EP,12,0.013936439851414795
NSGAII,ZCAT11,EP,13,0.014976454189006172
NSGAII,ZCAT11,EP,14,0.00904887981572508
NSGAII,ZCAT11,EP,15,0.012779895283901
NSGAII,ZCAT11,EP,16,0.017077502403370137
NSGAII,ZCAT11,EP,17,0.014979145043281572
NSGAII,ZCAT11,EP,18,0.011716779375738291
NSGAII,ZCAT11,EP,19,0.00949457048712904
NSGAII,ZCAT11,EP,20,0.01340790267304695
NSGAII,ZCAT11,EP,21,0.01533965264767645
NSGAII,ZCAT11,EP,22,0.011737253193171315
NSGAII,ZCAT11,EP,23,0.01201217983085523
NSGAII,ZCAT11,EP,24,0.012011090926348222
NSGAII,ZCAT11,EP,25,0.01367006846178562
